number,task,duration,equipment,kinks,intensity
52,Raise your maximum lock time limit by a day.,15 minutes,,,easy
53,"30 minutes of quietness with white noise in your earphones, an effective dark hood or blindfold, and a gag.",30 minutes,"darkhood,blindfold,gag",bondage,easy
54,Remain silent for 48h or until your keyholder speaks to you again.,1 day+,,,hard
55,"Beg your keyholder to rate your current outfit, whatever you are wearing when you get the task, and add or remove time accordingly.",15 minutes,,humiliation,easy
56,The floor is lava. Touch it only in high heels.,1 hour,heels,,medium
57,"Give a sex worker on Twitter a fulsome compliment for their beauty and class, and confess that you are in chastity. (Do not use DM. Do not send unwanted dick picks, locked or not.)",15 minutes,,public,easy
58,"Toss a coin. Tails, beg your keyholder to freeze your lock for a week. Heads, reward of their choice.",15 minutes,,,easy
59,"do not touch you genitals in the next 24h, at all. (Shake your body if you want to lose the last peedrop, dry with a towel after a shower but pull it by the ends between your legs instead of rubbing there...)",1 day,,humiliation,easy
60,eat your next meal out of a dog bowl/plate on the ground without using your hands,30 minutes,,humiliation,medium
61,No sleep for 24h.,1 day,,,hard
62,"Put a small, not-sharp pebble in your shoe. Leave it there for 48h.",1 day+,,pain,hard
63,"If your lock has a share link, post it in ðŸ”—â”ƒshared-links. If not, roll again.",15 minutes,,,easy
64,"(naked or clothed) Empty a cup of yogurt over your head, add some chocolate sauce or honey and sprinkles for a sweet touch, sit in your shower or bathtub for 10 minutes before cleaning up and think about what a delicious snack you are.",15 minutes,,,medium
65,Buy a pair of panties and a bra in a shop IRL.,30 minutes,costs money,"findom,public,humiliation",medium
66,Put on makeup and do a sexy photoshooting.,1 hour,makeup,humiliation,medium
67,Watch some rope bondage tutorials and try to recreate.,1 hour,rope,bondage,easy
68,Eat pancakes for every meal for 1 day,1 day,,,medium
69,"Nice! Lie down and get in this classic position as best you can by yourself. Then, do 69 strokes + deepthroats at the same time (even if caged).",30 minutes,,"anal,oral",medium
70,Banned from eating sugar for a day,1 day,,,medium
71,"Throw out 3 pieces of male underwear, replace with newly-bought panties (bonus: matching bra's)",30 minutes,costs money,"findom,humiliation",medium
72,Youâ€™re not allowed to use words longer then 10 letters for 1 day,1 day,,humiliation,medium
73,That game you really love? You're banned from playing it for 3 days.,1 day+,,,easy
74,Give someone else a task in ðŸ“â”ƒrequest-a-task,15 minutes,,,easy
75,"Share 5 images in any of the media channels. For each one, write a sentence of what you like about it.",15 minutes,,"public,humiliation",medium
76,"Dye your hair, or get it cut, in a way you wouldn't normally.",30 minutes,,"public,humiliation",medium
77,post 3 ideas in Community List of Tasks,15 minutes,,,easy
78,shave only one leg,30 minutes,,humiliation,easy
79,Make a Dee-pun (don't forget to ping),30 minutes,,,easy
80,No swearing allowed for the next 3 days,1 day+,,,medium
81,"Dress completely differently from normal for a day. Eg, if you normally wear dark, baggy clothes, try a nice colourful shirt!",1 day,,,medium
82,"Carefully handwash your delicates (panties, bras, etc).",2 hours,,,easy
83,spin your wheel of fortune. If you can't within the next hour roll again.,15 minutes,,,easy
84,fail your next verification picture. If you don't have that extension do two other task from this list at random.,N/A,,,easy
85,"Clean your room, dressed as maid",2 hours,maid outfit,humiliation,medium
86,"Re-watch your favorite movie, naked",2 hours,,,easy
87,"Not allowed to use the letter ""E"" for a day",1 day,,,hard
88,Pick someone active in this discord. Engage in conversation but purposefully mess up their honorifics. Take the punishment like a good girl,1 hour,,,easy
89,"Paint your nails in a bright color, keep for at least 2 days",1 day+,,public,medium
90,"Instead of bodywriting, get creative with paper figures/letters and tanlines",4 hours,some way to tan,,medium
91,Add time to 20 locks in ðŸ”—â”ƒshared-links.,30 minutes,,,easy
92,"Wear the same socks for 3 days. Then, gag yourself with them for 10 minutes",1 day+,,humiliation,medium
93,"Fill a bucket full of iced water. Pour it over your head, while fully-clothed.",30 minutes,,pain,medium
94,Confess a secret kinky fantasy in ðŸ“‹â”ƒtask-verification. Bonus points if it involves another server member.,15 minutes,,humiliation,easy
95,"put on makeup (light or heavy), only use black lipstick on the upper lip and use an eyeliner to extend the corners of the lip with a swirl to create a mustache. go out in public for half an hour(you choose how likely someone will see you)",1 hour,makeup,"public,humiliation",medium
96,"Practice making your own rope harness, keep it on for at least 4 hours",4 hours,rope,bondage,medium
97,Make your KH a drawing or write a poem for them,2 hours,,,easy
98,"Research the risks associated with ice/temperature play, then make a flesh light out of ice and use it until you edge, or it melts away.",2 hours,,pain,hard
99,Use a music discovery service and find 10 songs you've not heard before that you like. Post them in ðŸŽµâ”ƒmusic,1 hour,,,easy
100,A big milestone deserves a big task! Get 6 random tasks from this list. Do any 5 of them. Good luck!,N/A,,,hard
101,"submissive 101, spend 101 minutes collared today",2 hours,collar,,easy
102,"If your BMI is over 18 immediately after your next fulfilling meal fast for 24 hours, make sure to drink plenty of water. If your BMI is 18 or lower, instead eat only healthy foods for 24 hours and consume at least approximately 2000 calories in this time.",1 day,,,hard
103,"Go to the gym, do cardio for at least 40 minutes and lift weights for at least 20 minutes.",1 hour,gym,,medium
104,"That thing you have been putting off, do it now.",N/A,,,medium
105,"Spend 24 hours without any social media, including discord and other internet fora.",1 day,,,medium
106,"If you don't have one already, purchase a gym membership.",1 hour,costs money,findom,medium
107,"Take a walk, minimum 30 minutes. Don't use your phone, listen to music or otherwise distract yourself from your thoughts. Reflect on your relationship with your keyholder and write down your thoughts somewhere when you get home.",30 minutes,,,easy
108,Find an erotic hypnosis audio you think your keyholder would enjoy you listening to. Listen to it and give your keyholder a 300 word report on the file's content.,2 hours,,,medium
109,Make something useful for your keyholder.,4 hours,,,easy
110,"Find a â€œcock heroâ€ video that is at least 30 minutes long, stroke a dildo to the beat instead of yourself.",30 minutes,dildo,humiliation,easy
111,"Write a 300 word confession to your keyholder about something you feel embarrassed about, have been reluctant or afraid to share, or something you have told very few other people. Answer any follow-up questions honestly and straight, without dodging or joking away the questions.",1 hour,,humiliation,medium
112,"Roll a random task from this list and do it, describe or show proof to your keyholder and ask if they are satisfied with your execution. Repeat until they are.",N/A,,,medium
113,"In real life, face to face, tell someone other than your keyholder that you're locked up in chastity. Can be mentioned off-hand or stated directly. It does not matter if they already know or not.",15 minutes,,"public,humiliation",hard
114,"Create an organized view of all of your kinky items, including but not limited to bondage rope, sex toys, and sexy outfits. Organize them in a fashion you're comfortable with, excel, Google Docs, website, blog, discord message or however you wish. For every item, include at minimum a picture you've taken of it, it's name, it's function, how experienced you are with it, and your feelings about it.",4 hours,,,easy
115,If you have multiple cages you also might have multiple keys and locks. For every type of lock you have make sure you have exactly one lock and exactly two (working) keys. Dispose of the rest in a responsible fashion.,1 hour,,,easy
116,Respond to 3 different topics in â”â”ƒkink-questions,30 minutes,,,easy
118,"Play a game of go (https://online-go.com/learn-to-play-go to get started if you don't know how) and don't quit until you've one a round (if it's your first time, just complete the tutorial).",1 hour,,,easy
119,"In a kink setting, agree to any description/compliment you're given (without any implication of doubt or denial - the goal is enthusiastic agreement) for 72 hours. For instance, ""You're such a cute, dumb little [insert title here]"" or more general compliments such as being called cute (you know who you are).",1 day+,,,easy
120,"For the next 3 days, you may only use toys after they've been in the freezer/soaked in ice for a few hours. Warming dildos up with oral/DT is not permitted.",1 day+,,pain,medium
121,"While on discord, don't speak unless directly asked a question - for the sake of simplicity, you can announce when you're on but otherwise you must rely solely on using either emotes or gifs for 48 hours.",1 day+,,humiliation,medium
122,Be on a lewd content banfor 3 days,1 day+,,humiliation,medium
123,Sleep in 'light' (reads: little to no risk) restraints at the foot of your bed for 3 days.,1 day+,restraints,bondage,medium
124,"Try a food that is rumored to smell foul but taste good (ex, durian, luosifen)",30 minutes,,,medium
125,"Stay outside of your dwelling for as long as possible for one day -- if you have a yard/porch, use it only when it gets dark out (because safety). Hopping over to a friend or relative's house is not allowed. Only come in for breaks (grabbing food, washing up/changing if the weather is ill-fitting) and for sleeping. Verify in task-verification by posting shots of things around you every hour (without giving away the location, obviously).",1 day,,public,hard
126,Write a 450 word informal biography on an artist you've been listening to/following recently - include a short blurb after about why they are particularly interesting to you and post it in task-verification.,1 hour,,,easy
127,Practice and learn the choreography to Taemin's (íƒœë¯¼) song 'Move',1 day+,,,hard
128,go to bed with enough time to get a good 8 hrs of sleep,Half day,,,easy
129,"Find another submissive who has permission and is willing to wager a task they are assigned. Agree on a way to resolve the bet, e.g. chess, go, tick-tack-toe, rock-paper-scissors or a coin flip. Loser gets the wagered task and has to roll one more random task from this list.",1 hour,,,easy
130,"If you don't already know, read up on the melting point of various types of candle vax and their suitability for kinky play. Then attempt to write your keyholders name on your body with melted wax, creative thinking to achieve a good result is encouraged. Share in ðŸ“‹â”ƒtask-verification",2 hours,,"pain,wax",medium
131,Find out how many clothes pegs you can fit on your genitals. Share the count and a picture in ðŸ“‹â”ƒtask-verification,1 hour,clothes pins,"pain,cbt",medium
132,"Do 100 push-ups in a 24 hour period, they don't have to be consecutive. Make sure you have good form, straight back.",1 day,,,medium
133,Drink a tall glass of water.,,,,easy
134,"Ask a keyholder or switch you like when their birthday is. Set a reminder to get them a gift for it. It can be from a wishlist, offering them control of a short lock, or something nice you make for them.",15 minutes,,findom,easy
135,"Eat as you normally would, but add hot sauce to anything that isn't a traditional drink for a day (ex, water, tea, wine, etc.)",1 day,,pain,medium
136,"Using body paint, make a picture using your breasts/balls as a brush and hang it up somewhere with no context.",1 hour,body paint,"humiliation,bodywriting",medium
137,"Ask ðŸ â”ƒgeneral to give you a new nickname. Pick one of the first 3 replies, and use it for 48h.",1 day+,,humiliation,medium
138,Search for 'temporary tattoos' on your preferred online marketplace. Order and apply the most degrading one. Keep it for at least 72h.,1 dat+,costs money,findom,easy
139,"Write a thank you note to your keyholder for keeping you locked up, and explain why you don't deserve to have access to your bits. Keep it in your purse/wallet for the rest of your lock.",15 minutes,,humiliation,easy
140,"Buy some white cotton panties and carefully embroider ""slut"" (or other term supplied by your keyholder) on them, front and back. Wear when finished.",4 hours,costs money,humiliation,easy
141,"make your keyholder trusted. If they're alreay trusted roll again. If it's a limit for you, roll twice again instead.",N/A,,,easy
142,"roll again an perform that task in a public place, (if possible/legal/allowed)",N/A,,public,medium
143,Convince another person in chat to swap names with you for 24h,1 day,,,easy
144,Don't walk on the main part of your foot for 24h. Toes and the balls of your feet only.,1 day,,,medium
145,"The next time you get really embarrassed, go to a paint-mixing company (such as https://www.dulux.co.uk/en/colour-details/filters/h_Red#tabId=item1) and pick out the colour that best matches your cheeks. Share it in chat",30 minutes,,,easy
146,"Ask your keyholder to give you a humiliating sentence to write 85 times, use a camera and record the paper as you complete it over voice chat on live.",2 hours,camera,,easy
147,"Roll a D6: this will be the max amount of clothing you're allowed to wear today (shoes don't count, don't forget to put on a bit more once going into public)",1 day,,humiliation,medium
148,"Censor 5 porn pics you really like and post them in the appropriate media channels. Tell everyone what you like about them, and why you don't deserve to see them.",2 hours,,humiliation,easy
149,"Research and install one subby/embarrassing program or app on your computer or phone (eg WallClaimer, Qustodio, BetaSafety, Edgeware, etc). Play around with it to get a feel for how it works. Tell your KH you have it installed, and leave it installed until your lock ends.",2 hours,,,easy
150,Ask your keyholder or general chat for a sentence. Record yourself saying that sentence 10 times. Post in ðŸ“‹â”ƒtask-verification,30 minutes,,humiliation,easy
151,"For the next 72h, you can only watch/listen to/play media that would be rated as safe for young children (usually a 'G' or 'U' rating). You can have some scarier stuff (usually a 'PG' or '12A' rating) if your keyholder grants permission. Nothing above that, though!",1 day+,,humiliation,easy
152,"Pick out a really scary horror movie. Watch it by yourself, in the dark, with no interruptions or distractions.",2 hours,,,medium
153,You must drink all liquids out of a sippy cup for 24hrs,1 day,sippy cup,humiliation,easy
154,You must shave your entire body,4 hours,,,medium
155,You must ask your KH exactly what hair they like where on your body and shave your body according to their preferences.,4 hours,,,medium
156,Create a playlist of five up-tempo songs you can dance to. Perform the Carlton Banks dance confidently with a big smile as you play them loudly. Best if done on camera for your KH.,30 minutes,,humiliation,easy
157,Tie/Cuff hands (behind back) and feet and kneel on uncooked rice for fifteen minutes.,15 minutes,cuffs,"bondage,pain",medium
158,"Do a lap around your house naked. Can be done at night, of course.",15 minutes,,"public,humiliation",hard
159,Hold a coin to the wall with your nose... but do this outside. (10 minutes),15 minutes,,"public,humiliation",medium
160,"Nipple clamps for 15 minutes, but have lotion or lube on your fingers and give your nipples a firm rub for a constant three minutes once the clamps come off.",15 minutes,nipple clamps,pain,medium
161,Use only chopsticks to eat for the next 24 hours. Cannot be Asian food! Hands are not allowed to touch food.,1 day,,humiliation,easy
162,Cornertime for 20 minutes while barefoot and standing on legos/jacks/gravel or something else uncomfortable of that sort.,30 minutes,,pain,medium
164,Throw a handful of uncooked rice on the floor and count them as you pick them up one by one.,1 hour,,humiliation,medium
165,Buy three of the largest bags of M&Ms (or Skittles if preferred) you can find. Organize and count the contents of each by color.,2 hours,costs money,humiliation,easy
166,"Spend 30 minutes in a closet with the door closed. No devices allowed (set a timer on the phone and place it just outside the door). Your attire (naked, uniform, cuffed, gagged, etc.) is up to your KH.",30 minutes,,humiliation,medium
167,Watch a porn video of 30 minutes in length that you like and write down and DM me(Bris#5253) the link and at least 3 questions and answers from something featured in the video,1 hour,,,easy
168,"insult your keyholder, beg for mercy after and deal with the consequences.",15 minutes,,,medium
169,Ask your keyholder for a line to write 50 times. It must be both grammatically incorrect and spelled poorly,1 hour,,humiliation,medium
170,Host a â°â”ƒcommunity-events. (Feel free to ask for help if you need it!),1 hour,,,easy
171,"Go to the shops and buy exactly 5 items- one worth Â£1, Â£2, Â£3, Â£4, and Â£5. Use your local currency, and you're allowed to go 10p either side. All the items must be things you'd enjoy. Then, use them all in one day.",1 hour,costs money,findom,easy
172,"Install an alternative browser, music player, word processor, or other commonly-used utility. For the next 3 days, you must use that one instead of what you'd normally use.",1 day+,,,easy
173,"Keep a dream diary for the next 3 days. You must make your entries as soon as you wake up for any sleep, and even if you don't remember anything.",1 day+,,,easy
174,"Memorise pi to 50 digits. Film yourself, blindfolded, reciting it.",1 day,blindfold,,easy
175,"Give your KH a rare, valuable, difficult-to-obtain, or specifically-useful-to-them item in a video game you both play.",1 day,,,easy
176,Put a verification picture from a previous task up on your bedroom wall for 72h.,1 day+,,humiliation,medium
177,Read a book written before 1900.,1 day+,,,easy
178,Watch a movie with a rotten tomatoes rating score of 20% or less.,2 hours,,,easy
179,Completely shave your genitals.,30 minutes,,,easy
180,Drink an alcoholic beverage you haven't tried before.,15 minutes,alcohol,,easy
181,"For the next 3 days, put your pillows at the other end of your bed, and sleep ""upside down"" to your usual orientation",1 day+,,,easy
182,Hold the Special Calming Position for 20 minutes: https://discord.com/channels/710587363918741604/710589943109517392/1021143159796924566,30 minutes,,,easy
183,Wear a lovense or other vibrating plug that can be controlled remotely. Get someone to take control then walk to a store(no driving) and purchase a item from the store.,1 hour,lovense,"anal,public",medium
184,"Take an explicit photo of yourself nude somewhere outside. For example your backyard or the woods, your choice. You may censor face or other identifying marks. Post in ðŸ“‹â”ƒtask-verification",30 minutes,,public,medium
185,"If you need to unlock for this task ask your keyholder for permission first. In a 24h period spend 1 hour total time playing with yourself, but no edges are allowed. You must stop the time if you get close to an edge, or if you take a break from actively stimulating yourself for any reason. Use a stopwatch to keep the time. You must be doing something that feels good enough that you could orgasm from it, for example use a vibrator on your cage or rub that sensitive spot like a girl.",1 day,,edging,medium
186,"Do some reconnaissance(HUMINT or OSINT) to find out something your keyholder likes and desires that you did not already know of, you may not ask your keyholder directly though. Take some action to fulfill this desire",4 hours,,,medium
187,Complete a classic 'LucasArts' adventure game from start to finish (such as 'The Dig'). You may not look up any hints or walkthroughs without your keyholder's permission.,1 day+,,,medium
188,"Post a picture of your desk, as-is in ðŸ“‹â”ƒtask-verification. Spend at least 30 minutes cleaning and tidying it, then post again to show the improvement.",30 minutes,,,easy
189,Select your most pungent/strong spice/seasoning mix. Bring it close to your nose and inhale deeply.,15 minutes,,,easy
190,Cut out or sew up all the pockets in their clothing,30 minutes,,,medium
191,"If you get lines to write, translate it into another language (or a language you're learning) and submit it in ðŸ“‹â”ƒtask-verification .",1 hour,,,easy
192,hit guess on guess the timer twice. If you don't have that extension roll again.,15 minutes,,,easy
193,"Order custom panties, in Dom/mes colour of choice",15 minutes,costs money,findom,easy
194,"Squat in said panties (dom's choice), counting each squat as they go (# up to dom)",1 hour,,,easy
195,"Squat and then hold the squat for a count of 5 whilst still counting the reps (if they lose count, start again, # up to dom)",1 hour,,,easy
196,"Squat above a dildo, even at the lowest point of the squat their hole only brushes against the tip (# up to dom)",1 hour,,anal,easy
197,"Sqaut with plug, nipple clamps, gags, ice cubes in each hand, etc. These add ons are up to dom.",1 hour,"plug,clamps,gag","anal,pain",medium
198,"Do some 'body art', with your cage/belt the centrepiece. Ideally you should 'dress it up' to look like something else. Post in ðŸ“‹â”ƒtask-verification when you're done.",2 hours,body paint,bodywriting,medium
199,"Sing the alphabet backwards. Every time you mess up, spank your ass 10 times",1 hour,,"pain,spanking",medium
200,"Make a â€œsnow angelâ€. If thereâ€™s no snow, itâ€™s up to you to find a replacement medium. Perhaps sand, mud, or beans! Post the picture in #task-verification.",30 minutes,,"public,humiliation",medium
201,"Sleep on the floor tonight. You can have at most one large (eg duvet, sleeping bag) OR two small (eg blanket, pillow) soft items to help.",Half day,,"pain,humiliation",medium
202,Order the spiciest thing on the menu from your usual fast food takeaway. Eat all of it.,30 minutes,costs money,pain,medium
203,"Open https://en.wikipedia.org/wiki/Special:Random 3 times in different tabs. Pick 1 of them. Then, note the title, close the page, and prepare a 10 minute presentation on that topic. You should perform your own research, but may not look at the original Wikipedia page. Present it to your keyholder.",2 hours,,,easy
204,"For 5 hours, every 30m, move your lockbox (or similar) to a different place in your house. You must be able to describe each location differently. When you do, say out loud â€œMy lockbox is in [location]â€ three times, and note the location on paper. 30m after you do this for the 10th and final time, roll a D10. Move your lockbox to the corresponding location on your paper. Say nothing out loud. Burn or shred the paper. Finally, you may not look at or touch your lockbox for 24h.",Half day,,,medium
205,Fuck the contents of a can of SpaghettiOs or a can of Chef Boyardee Ravioli (or the best equivalent of cheap canned pasta you can get in your country) for 5 minutes.,15 minutes,,humiliation,hard
206,Attempt to fuck a tomato (or smash a tomato against your belt/cage).,15 minutes,,humiliation,hard
207,"Write fanfic about you and you KH, min 300 words.",1 hour,,,easy
208,Write at least 200 words on why cumming is only for the best toys.,30 minutes,,humiliation,easy
209,Write out the last 50 messages posted in ðŸ â”ƒgeneral,1 hour,,,easy
210,"go to https://en.wikipedia.org/wiki/Sex_position copy over the paragraph ""Penetrating partner on top with front entry"" (handwritten copy)",1 hour,,,easy
211,"find a kinky story (kh's choice, random, latests on a site like literotica) copy over text till you've handwritten at least 1/4 of text.",1 hour,,,easy
212,"Roll a d10. For the next 3 days, you can't have more than X browser tabs open at the same time",1 day+,,,easy
213,"Eat a meal which is meant to be eaten with utensils, without utensils",30 minutes,,humiliation,easy
214,"Eat a meal out of a dog bowl, on the ground, without using your hands",30 minutes,,humiliation,easy
215,Put a clothespeg on your tongue for 20m,30 minutes,clothes pin,"pain,humiliation",medium
216,Tie a rope harness on yourself for 3h,4 hours,rope,bondage,easy
217,Do a double shot of alcoholic spirits,15 minutes,alcohol,,easy
218,Make an ahegao face.,15 minutes,,humiliation,easy
219,write a handwritten review (200 words minimum) of your next task and place it in ðŸ“‹â”ƒtask-verification. Roll again to get the next task,N/A,,,easy
220,"Name something you like, then write 200 words about why that thing sucks",30 minutes,,,easy
221,Infodump about something you really enjoy,30 minutes,,,easy
222,"Keep a diary for 3 consecutive days, be honest and include as much as possible without violating your privacy. E.g. feelings about you lock, your desires and your activities. Share it with your keyholder.",1 day+,,,easy
223,"Spend 20 minutes outside, gagged, underneath a mask",30 minutes,gag,"public,humiliation",medium
224,Put your feet in ice water for 3 minutes,15 minutes,,pain,medium
225,Order some adult diapers. Post a picture of the order confirmation to ðŸ“‹â”ƒtask-verification,15 minutes,costs money,humiliation,medium
226,"For 24h, don't drink any caffeinated beverages (including tea, coffee, and coke)",1 day,,,medium
227,"For 24h, don't eat any snacks",1 day,,,easy
228,"For 24h, don't drink any alcohol",1 day,,,easy
229,"For 24h, don't use any 4+ syllable words (spoken or typed). You are allowed at most 3 mistakes",1 day,,,medium
230,"For 24h, attach a bell to your cage/belt",1 day,,humiliation,medium
231,"For 24h, send at least one message in ðŸ â”ƒgeneral every hour",1 day,,,hard
232,"For 24h, don't swear.",1 day,,,medium
233,Write a paragraph about why you're a strong competent individual who's able to make their own decisions... by holding the biggest crayon you can find in the fist of your off-hand. Post the picture to ðŸ“‹â”ƒtask-verification.,30 minutes,crayon,humiliation,easy
234,Post 5 pictures of your (animal) pet to the server.,15 minutes,pet (animal),,easy
235,"Strip naked and get on your hands and knees. Crawl into every room in your flat/house/property, and spin once in it. Return to where you started before standing up.",1 hour,,humiliation,easy
236,"Watch an episode of ""Milf Manor"", and write a short review",2 hours,,,easy
237,Write 200 words about why this is the best pigeon picture you have ever seen. https://discord.com/channels/710587363918741604/1077292571300200558/1085960791695569057,30 minutes,,,easy
117,"Do 300 'peg-minutes'. 1 clothespeg/clamp, attached anywhere on your body for 1 minute, is 1 peg-minute. (So you can add more pegs to make it go faster!)",4 hours,clamps/clothes pins,"pain,cbt",medium
163,"Create a clothespin zipper line with at least 10 clothespins. Attach to various sensitive areas of your body (nipples, ball-sack, inner thighs, etc.). Leave on for at least 15 minutes and then yank them off all at once.",15 minutes,clothes pins,"pain,cbt",hard
42,"Collared when at home, and leashed to a fixed point. Always ask your keyholder for permission to move the leash.",1 day,"collar,leash",humiliation,medium
